Sample.ID,Plant.ID,SpCode,LatinName,Layer,Life.Form,Harvest.Date,Processing.Date,Site,GPS.lat,GPS.long,Canopy,Rocks,Slope,Humus.depth,Reprod.stage,Veg.Ht,Reprod.Ht,Root.Loca,Min.Root.Loca,Max.Root.Loca,Storage.Organ,Nb.leaves,Nb.leaflets,Leaf.tot.area(cm2),Leaf.tot.wet.weight(g),Leaf.tot.dry.weight(g),Petiol.wet.weight(g),Petiol.dry.weight(g),Support.dry.weight(g),Reprod.dry.weight(g),Storage.dry.weight(g),Total.dry.weight(g),Lamina.thck(?m),Vein.thck(?m),LMA(g/cm2),LDMC(g/g),Leaf.Area(cm2),Leaf.Mass.Frac,Supp.Mass.Frac,Rep.Mass.Frac,Stor.Mass.Frac,Fine.Root.Diam(mm),SRL(cm/mg),Myc.Frac(sp.average),Note,
39,ABBA1,ABBA,Abies_balsamea,Canopy,Tree,11-05-2016,13-05-2016,Johnville,284894,5025064,NA,no,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,65.4,2.15,1.1,0,0,NA,0,NA,1.1,382.75,NA,0.0168,0.512,NA,1,NA,0,NA,NA,NA,NA,,
173,ABBA10,ABBA,Abies_balsamea,Canopy,Tree,02-06-2016,03-06-2016,Johnville,284419,5025048,ClosedF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,59.7,1.92,0.986,0,0,NA,0,NA,0.986,342.75,NA,0.0165,0.514,NA,1,NA,0,NA,NA,NA,NA,,
40,ABBA2,ABBA,Abies_balsamea,Canopy,Tree,11-05-2016,13-05-2016,Johnville,284894,5025064,NA,no,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,58.8,2.03,1.11,0,0,NA,0,NA,1.11,459.88,NA,0.0189,0.547,NA,1,NA,0,NA,NA,NA,NA,,
55,ABBA3,ABBA,Abies_balsamea,Canopy,Tree,16-05-2016,17-05-2016,Johnville,284513,5025074,NA,no,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,52.7,1.83,0.966,0,0,NA,0,NA,0.966,382.88,NA,0.0183,0.528,NA,1,NA,0,NA,NA,NA,NA,,
51,ABBA4,ABBA,Abies_balsamea,Canopy,Tree,16-05-2016,17-05-2016,Johnville,284384,5025142,ClosedM,no,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,64.7,2.06,1.15,0,0,NA,0,NA,1.15,370.75,NA,0.0178,0.558,NA,1,NA,0,NA,NA,NA,NA,,
52,ABBA5,ABBA,Abies_balsamea,Canopy,Tree,16-05-2016,17-05-2016,Johnville,284384,5025142,ClosedM,no,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,55.6,1.93,1.05,0,0,NA,0,NA,1.05,390.88,NA,0.0189,0.544,NA,1,NA,0,NA,NA,NA,NA,,
84,ABBA6,ABBA,Abies_balsamea,Canopy,Tree,19-05-2016,20-05-2016,Johnville,284621,5025000,NA,no,flat,NA,4,NA,NA,NA,NA,NA,none,NA,NA,54.4,1.76,0.974,0,0,NA,0,NA,0.974,497.13,NA,0.0179,0.553,NA,1,NA,0,NA,NA,NA,NA,,
83,ABBA7,ABBA,Abies_balsamea,Canopy,Tree,19-05-2016,20-05-2016,Johnville,284621,5025000,NA,no,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,62.6,1.8,1.01,0,0,NA,0,NA,1.01,356.63,NA,0.0161,0.561,NA,1,NA,0,NA,NA,NA,NA,,
171,ABBA8,ABBA,Abies_balsamea,Canopy,Tree,02-06-2016,03-06-2016,Johnville,284553,5025023,M,NA,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,59.9,1.97,1.04,0,0,NA,0,NA,1.04,430,NA,0.0174,0.528,NA,1,NA,0,NA,NA,NA,NA,,
172,ABBA9,ABBA,Abies_balsamea,Canopy,Tree,02-06-2016,03-06-2016,Johnville,284553,5025023,M,NA,flat,NA,0,NA,NA,NA,NA,NA,none,NA,NA,61.1,1.98,1.09,0,0,NA,0,NA,1.09,408,NA,0.0178,0.551,NA,1,NA,0,NA,NA,NA,NA,,
